,tweet,coordinates,location,language
39,"RT @TheFourEyed: @StrontDogg @CountDankulaTV They have and still do contribute to workers struggles and union action, the fact you don't wo…",,"Hull, England",en
40,Ukraine's economy-2019: Slower growth with lower inflation https://t.co/0DztjBMpNZ https://t.co/EOPLJEHNfO,,"Kyiv, Ukraine",en
41,"RT @TatAtfender: After 333 years Ukrainian Orthodox Church regains its independence
#Tomos #Ukraine #historyinthemaking https://t.co/1JZZ3u…",,Украина,uk
42,"Ukrainian gov reported this week the  measles tally for 2018 and that number was an astounding 54,481. Of  this tot… https://t.co/qn1pp0yXHn",,Not of this world,en
43,"RT @GlasnostGone: Good 2C #Twitter suspending Russia's useful idiots: US Russell Bentley for foul mouth threats/rants, UK Graham Phillips f…",,The Netherlands,nl
44,"RT @UkrVerstehen: Ein historischer Moment für die Ukraine. Bartholomäus, der Patriarch von Konstantinopel, unterzeichnet das Tomos, das dam…",,Ukraine,en
45,"The Gigantic Maitreya Buddha of Xumishan Grottes, China

https://t.co/2tjhjux7we

#TsemRinpoche 
#DorjeShugden… https://t.co/OvXKukDIDo",,"Perak, Malaysia",en
46,Poroshenko: I pray that OCU to continue uniting Ukraine with love and prayer https://t.co/o3DAMEqdxo https://t.co/M9qYasg0Rc,,"Los Angeles, California, USA",en
47,"RT @TetySt: Moscow has stolen autocephaly from Ukraine 333 years ago. 
Receiving it back within basically a year is amazing in itself and u…",,Україна,uk
48,"I CELEBRATE BOTH    "" Orthodox Christmas: Why do some Christians celebrate in January? "" CHRISTMAS AGAIN! ✝️⛪☦️🎁🎄🎅… https://t.co/T6ggJFtO6s",,out of this world !,en
49,"RT @AnneBluebelle: The Gigantic Maitreya Buddha of Xumishan Grottes, China

https://t.co/2tjhjux7we

#TsemRinpoche 
#DorjeShugden 
#England…",,"Himachal Pradesh, India",en
50,RT @TarasKuzio: Patriarch Bartholomew signed the Tomos which Ukraine receives tomorrow on Christmas Eve. The Tomos is the second geopolitic…,,Україна,uk
51,RT @AP: The Ecumenical Patriarch of Constantinople signs a decree of independence for the Orthodox Church of Ukraine. https://t.co/Eph5FjFk…,,Omnipresent,en
52,"RT @Kateryna_Kruk: And so it has finally happened! Tomos of autocephaly to the Orthodox Church of Ukraine has been signed just now.
...a ye…",,Україна,uk
53,"RT @GbengaGOLD: Dr. Sunday Adelaja, founder and senior pastor of the Embassy of the Blessed Kingdom of God for All Nations in Kiev, Ukraine…",,Nigeria,en
54,"RT @Tiger_Andante: Текст-ориґінал (на пергаменті) Томосу про надання автокефалії Православній Церкві України.
Каліграфія: ієромонах Лука (H…",,Украина,uk
55,RT @Snowbirdsix1000: History is made!: Patriarch Bartholomew of Constantinople signs Tomos of Autocephaly for Orthodox Church of Ukraine |…,,Omnipresent,en
56,"RT @ProdamMusor: RT glavnovosticom ""СБУ рекомендует доносить на тех, кто спрашивает про ситуацию в Украине via glavnovosticom https://t.co/…",,"Челябинск, Россия",ru
57,RT @Liveuamap: Tomos for Ukrainian Church has been signed by Ecumenical Patriarch Bartholomew of Constantinople https://t.co/6Fu6PQAnDU htt…,,Omnipresent,en
58,#Orthodox patriarch #Bartholomew of Constantinople signs decree on independent #Ukraine church https://t.co/QiDwqyeZ03,,"Toronto, Canada",en
59,RT @UA_EUMission: 📽 LIVE: Ceremony of signing the #Tomos of Autocephaly for #Ukraine in Istanbul. https://t.co/I1GAFkYr9H https://t.co/B7H7…,,Украина,uk
